Data;Preço médio - recebido pelo agricultor - boi gordo - arroba - PR - R$ - Secretaria da Agricultura e do Abastecimento do Estado do Paraná, Departamento de Economia Rural (Seab-PR) - DERAL12_PRBGO12;
2023.10;228,1476;
2023.11;231,6758;
2023.12;235,3238;
2024.01;236,0342;
2024.02;231,4566;
2024.03;228,1079;
2024.04;224,1633;
2024.05;221,2806;
2024.06;218,0901;
2024.07;225,7461;
2024.08;234,1542;
2024.09;245,3972;
2024.10;285,8754;
2024.11;321,4143;
2024.12;317,5218;
2025.01;316,1776;
2025.02;312,637;
2025.03;303,4168;
2025.04;315,1623;
2025.05;305,7701;
2025.06;307,6698;
2025.07;301,5457;
2025.08;304,2372;
2025.09;309,6937;
2025.10;310,393;
